Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time
KNN,83.92980041293875,80.99488613576368,80.32492405241823,80.088418674015,1.1162097454071045
Decition Tree,61.803165863730214,54.632161924701194,47.25665647378773,46.70102461983065,0.6356604099273682
Random Forest,75.32690984170681,68.59079953226261,60.143087912101365,60.64532019823721,2.106262445449829
SVM: {linear},57.60495526496903,59.06531723393119,39.74825305306447,38.360132863262166,33.93231773376465
"SVM: {gamma=2, C=1}",87.23331039229181,85.86523286859314,82.94297980158785,84.24557704555247,27.858757257461548
SVM: {kernel=rbf},83.55127322780454,81.72100672023541,76.14182952944543,78.08011490956534,22.210631370544434
MLP,63.936682725395734,49.68809223986471,47.604667242758495,46.5041026615366,74.72372555732727
Gaussian Naive Baye,60.908465244322095,58.07204748538981,61.74025032873304,55.6899088866049,0.12234759330749512
Linear Discriminant Analysis,75.22367515485203,70.29774937124131,70.57420565958397,69.77631453207108,1.648186445236206
Quadratic Discriminant Analysis,48.07295251204405,28.80722168355472,40.58310182185538,31.77805676103046,3.18302845954895
AdaBoost,47.350309704060564,46.497482363431416,46.79421760618566,43.82499014482616,8.652153015136719
GradientBoosting,83.41362697866484,77.82566024232554,79.57405168200668,78.51376711448157,545.6034867763519
XGBoost,96.45560908465244,95.92937781951017,95.42167246309023,95.6649316970843,68.19506001472473
