Classifier,Accuracy,Precision,Recall,F1_Score,Trainning_Time,Method
KNN,32.79421886,28.89538555,29.89141681,27.98155959,0.148996353,NOT_SMOTE
Random Forest,40.6056435,36.46532757,38.10491785,29.96641611,2.781087399,NOT_SMOTE
"SVM: {gamma=2, C=1}",41.12181693,33.66249192,33.30482176,28.9600861,49.4991796,NOT_SMOTE
MLP,31.69304886,24.87317504,26.98131162,20.90826029,3.894789457,NOT_SMOTE
XGBoost,42.05092911,34.27658532,36.83603418,34.28064238,31.77833962,NOT_SMOTE
KNN,42.46386786,31.93447994,31.20681863,31.00091183,0.124567986,SMOTE
Random Forest,42.60151411,33.1010084,26.65921377,25.05314416,0.847193003,SMOTE
"SVM: {gamma=2, C=1}",40.08947006,27.22229564,23.75101478,20.46765619,6.29645586,SMOTE
MLP,35.61596696,17.35695283,17.90460914,13.99637469,3.080064297,SMOTE
XGBoost,45.49208534,35.24367796,33.73180025,33.78243073,7.397882462,SMOTE
